<<<<<<< HEAD
report_id,recommendation_id,recipient,made,recommendation,recommendation_text,extra_recommendation_context,reply_text,response_category
2021_003,029/23,CAA,2023-09-27,"On 27 September 2023, the Commission recommended that the Civil Aviation Authority of New Zealand, in consultation with stakeholders, resolve the ambiguity around night Visual Flight Rules and guidance to ensure they are fit for purpose.","the Commission recommended that the Civil Aviation Authority of New Zealand, in consultation with stakeholders, resolve the ambiguity around night Visual Flight Rules and guidance to ensure they are fit for purpose.","On 27 September 2023, ","In response to these recommendations the CAA is undertaking, or intends to undertake the following:_x000D_
A complete review of the Part 61 Advisory specific to helicopters is currently underway. The focus areas of this review are:_x000D_
o	Night flying â€“ including clarification and training guidance of Night VFR operations._x000D_
o	Basic Instrument Flying (currency to be included in the BFR â€“ currently only compass turns)_x000D_
o	Inadvertent IMC training (as above).",
2020_002,010/23,Taupo Gliding Club,2023-09-27,On 27 September 2023 the Commission recommended that the Taupo Gliding Club develop and implement a system approved by GNZ that ensures instructors can positively verify that pilots have an appropriate level of competency to ridge soar on Mount Tauhara and safely conduct training flights on the ridge.,the Commission recommended that the Taupo Gliding Club develop and implement a system approved by GNZ that ensures instructors can positively verify that pilots have an appropriate level of competency to ridge soar on Mount Tauhara and safely conduct training flights on the ridge.,On 27 September 2023 ,"On 5 October 2023, the President of the Taupo Gliding Club responded in part: _x000D_
Regarding your letter asking for our intentions regarding the final recommendation. We have accepted and implemented your recommendation. I will attach a photograph of our logbook entry supplied to those who have attended the compulsory Ridge Soaring Lecture, and also a photograph of the follow-up safety briefings which also cover soaring on Mt. Tauhara.",
2021_003,030/23,CAA,2023-09-27,"On 27 September 2023, the Commission recommended that the Civil Aviation Authority of New Zealand, in consultation with stakeholders, establish and clarify instrument currency requirements for night Visual Flight Rules flying.","the Commission recommended that the Civil Aviation Authority of New Zealand, in consultation with stakeholders, establish and clarify instrument currency requirements for night Visual Flight Rules flying.","On 27 September 2023, ","In response to these recommendations the CAA is undertaking, or intends to undertake the following:_x000D_
A complete review of the Part 61 Advisory specific to helicopters is currently underway. The focus areas of this review are:_x000D_
o	Night flying â€“ including clarification and training guidance of Night VFR operations._x000D_
o	Basic Instrument Flying (currency to be included in the BFR â€“ currently only compass turns)_x000D_
o	Inadvertent IMC training (as above)._x000D_
_x000D_
An industry helicopter working group has been convened and will, as part of their work, consider the issues raised in recommendation 030/23.",
2023_201,009/23,Maritime New Zealand,2023-04-30,"On 30 April 2023, the Commission recommended that Maritime New Zealand alert all vessel operators using rubber expansion joints within a vesselâ€™s safety-critical system to the importance of taking into account the date of manufacture, in addition to the time in service, in their maintenance schedules to ensure they are fit for purpose.","the Commission recommended that Maritime New Zealand alert all vessel operators using rubber expansion joints within a vesselâ€™s safety-critical system to the importance of taking into account the date of manufacture, in addition to the time in service, in their maintenance schedules to ensure they are fit for purpose.","On 30 April 2023, ","On 3 May 2023, Maritime New Zealand replied:_x000D_
We write to you in response to the Final recommendation MO-2023-201: Passenger Vessel, Kaitaki loss of power, Cook Strait, New Zealand 28 January 2023 notifying Maritime New Zealand of the final shape of recommendationâ€™s 008/23 and 009/23 to be included in your report._x000D_
Maritime New Zealand accepts the final recommendation 008/23 and 009/23; as outlined in your letter.",Accepted
2023_201,008/23,Maritime New Zealand,2023-04-30,"On 30 April 2023, the Commission recommended that Maritime New Zealand require KiwiRail to provide evidence to Maritime New Zealandâ€™s satisfaction  that safety-critical rubber expansion joints onboard all vessels within KiwiRailâ€™s Interislander fleet are fit for purpose taking into account the manufacturerâ€™s guidance, namely: _x000D_
â€¢	they should be no older than eight months from the date of manufacture when installed _x000D_
â€¢	they are inspected annually including visual, tactile and hardness measurements_x000D_
â€¢	regardless of inspection findings, safety-critical REJs should be replaced after five years.","the Commission recommended that Maritime New Zealand require KiwiRail to provide evidence to Maritime New Zealandâ€™s satisfaction  that safety-critical rubber expansion joints onboard all vessels within KiwiRailâ€™s Interislander fleet are fit for purpose taking into account the manufacturerâ€™s guidance, namely: _x000D_
â€¢	they should be no older than eight months from the date of manufacture when installed _x000D_
â€¢	they are inspected annually including visual, tactile and hardness measurements_x000D_
â€¢	regardless of inspection findings, safety-critical REJs should be replaced after five years.","On 30 April 2023, ","On 3 May 2023, Maritime New Zealand replied:_x000D_
We write to you in response to the Final recommendation MO-2023-201: Passenger Vessel, Kaitaki loss of power, Cook Strait, New Zealand 28 January 2023 notifying Maritime New Zealand of the final shape of recommendationâ€™s 008/23 and 009/23 to be included in your report._x000D_
Maritime New Zealand accepts the final recommendation 008/23 and 009/23; as outlined in your letter.",Accepted and implemented
2021_105,005/23,KiwiRail,2023-04-26,The Commission recommended that KiwiRail install a more effective engineering solution to prevent rail movements entering the Picton rail linkspan without authorisation.,The Commission recommended that KiwiRail install a more effective engineering solution to prevent rail movements entering the Picton rail linkspan without authorisation.,,"In line with KiwiRailâ€™s response of 22 February 2023 to the draft recommendation, as part of the IREX project a preferred option has been identified for a series of automatic derailers that will be interlocked with the linkspan structure._x000D_
_x000D_
This recommendation is accepted and the anticipated time  line for completion is end of 2024.",Accepted
2021_105,004/23,KiwiRail,2023-04-26,The Commission recommended that KiwiRail ensure that safe working procedures are in place to manage site-specific risks associated with staff undertaking shunting activities.,The Commission recommended that KiwiRail ensure that safe working procedures are in place to manage site-specific risks associated with staff undertaking shunting activities.,,"This recommendation is accepted by KiwiRail and it is being implemented. We will confirm a timeline for these actions to be completed with your staff at our regular relationship meetings._x000D_
In addition to our response of 22 February 2023, a KiwiRail Industrial Council (KIC) Safer Shunting working group has been set up which meets regularly. The purpose of this group is to ensure that KiwiRail:_x000D_
_x000D_
â€¢	Improves the shunting safety outcomes within KiwiRail using people v plant principles_x000D_
â€¢	Works collaboratively with our union partners using High Performance High Engagement (HPHE) principles_x000D_
â€¢	To develop a future state shunting strategy that is aligned to current and new assets and the RNIP funding model_x000D_
â€¢	Understand the risks associated with shunting and manage these risks, so far is reasonably practicable",Accepted
2022_001,001/23,Secretary of Transport,2023-03-30,The Commission recommended thatÂ the Secretary of Transport review and revise Civil Aviation Rule Part 91 to mandate the wearing of pilot restraint harnesses during critical phases of commercial balloon flights. (001/23),The Commission recommended thatÂ the Secretary of Transport review and revise Civil Aviation Rule Part 91 to mandate the wearing of pilot restraint harnesses during critical phases of commercial balloon flights. (001/23),,"You have asked how I intend to respond to this recommendation. In accordance with the terminology used by the Commission, I advise that the recommendation is â€œUnder considerationâ€. This is because as noted in the Ministryâ€™s response of 7 December 2022 to the Commissionâ€™s draft recommendation, all the four operators involved in this activity are already implementing the recommendations put forward by the Commission, and that the operatorsâ€™ safety management systems requires the wearing of pilot restraints. The Ministry believes that adequate steps are already in place to address the Commissionâ€™s recommendations. Furthermore, the Civil Aviation Authority (CAA) has agreed to monitor voluntary compliance for a period of time and use that information to form an evidenced view on whether the residual risk alluded to in paragraph 5.11 of the Commissionâ€™s draft report continues to exist. If it does, then an amendment to Civil Aviation Rules might be justified._x000D_
As you will appreciate, the development of Civil Aviation Rules is undertaken together with the CAA. Given the small size of the commercial balloon operation sector in New Zealand (four operators), the mitigations already in place, and competing priorities, the recommended revision is unlikely to be prioritised in the near-medium term, unless the risk outlook for the commercial balloon operation sector changes significantly to the detriment of safety.",Under Consideration
2021_205,007/23,MNZ,2023-03-22,The Commission recommended that Maritime New Zealand develop and disseminate clear guidance to highlight the inherent risks associated with the telescopic accommodation ladders,The Commission recommended that Maritime New Zealand develop and disseminate clear guidance to highlight the inherent risks associated with the telescopic accommodation ladders,,"I write in response to your letter of 24 May 2023 notifying Maritime New Zealand of the final shape of recommendation 007/23; to be included in Report MO-2021-205._x000D_
_x000D_
Whilst we have not seen the recommendation in the context of the final report, Maritime New Zealand accepts the final recommendation 007/23; as outlined in your letter: â€œOn 22 March 2023, the Commission recommended that Maritime New Zealand develop and disseminate clear guidance to highlight the inherent risks associated with the telescopic accommodation ladders.â€_x000D_
_x000D_
Thank you again for this notification, the opportunity to comment and your careful consideration of our comments.",Accepted and implemented
2021_205,006/23,Swire Shipping NZ,2023-03-22,The Commission recommended that Swire Shipping (NZ) Limited review their safety management system to ensure that safety leadership is developed at all levels within the organisation to help develop a strong safety culture. 006/23.,The Commission recommended that Swire Shipping (NZ) Limited review their safety management system to ensure that safety leadership is developed at all levels within the organisation to help develop a strong safety culture. 006/23.,,"Swire Shipping (NZ) Limited accepts the Commissionâ€™s recommendation 006/23._x000D_
_x000D_
Although the accommodation ladders involved in this incident complied with regulations, they have been completely replaced with an updated design which ensures this particular incident will not recur on Moana Chief, and we have put in place supporting processes designed to improve safety on board the vessel._x000D_
_x000D_
We accept there is always room for improvement in safety culture and embrace the opportunity having already demonstrated our intentions by the steps taken as set out in Section 5 of the Commissionâ€™s report. Thank you for the opportunity to comment.",
2019_005,021/22,CAA,2023-03-07,The Commission recommended that the Civil Aviation Authority of New Zealand address the growing gap between New Zealandâ€™s minimum performance requirements and technical standards for NVIS and helicopter air ambulance operations and current international best practices.,The Commission recommended that the Civil Aviation Authority of New Zealand address the growing gap between New Zealandâ€™s minimum performance requirements and technical standards for NVIS and helicopter air ambulance operations and current international best practices.,,"You have asked if the Authority can advise its position in relation to the implementation of the above recommendations, including the actions taken (or to be taken) and the estimated timeframe._x000D_
Existing work_x000D_
The Authority has two existing programmes of work that relate to the recommendations._x000D_
The first is that as part the Authorityâ€™s rule development work, (the Transport Rules Programme) AC91-13 (Night Vision Imaging Systems - Helicopter) is being redrafted to align the AC with new technology and ICAO Standards.1_x000D_
When the redraft is complete, it will be released for consultation. However, the timing of that release is yet to be determined and so I cannot give you a specific timeframe, but will update you further, as below._x000D_
The second is that the Authority will, through its monitoring and inspection function, continue to both promote international best practice and assess operatorsâ€™ ability to identify and appropriately manage the risk of using NVIS against best practice._x000D_
The above are clear steps that will address the issues identified, and form part of our response to the Commissionâ€™s inquiry._x000D_
New work_x000D_
In addition, to ensure that any other gaps that the Authority should resolve in this area are identified and responded to, the Authority will commence a gap analysis to identify if any further work is appropriate in the areas of crew competency and performance/standards in the helicopter air ambulance space to support giving effect to recommendations 021/22 and 022/22._x000D_
You have asked that we respond to you further on our response to your recommendations and we are happy to do so._x000D_
Timeframes_x000D_
For an update on the gap analysis, and the AC9-31 consultation timeframe, we expect to give you an update in early September.",Under consideration
2019_005,022/22,CAA,2023-02-22,Crew resource management competency is not yet an effective safety measure for helicopters operating under CAR Part 135. On 22 February 2023 the Commission recommended that the Civil Aviation Authority of New Zealand address this safety issue.,the Commission recommended that the Civil Aviation Authority of New Zealand address this safety issue.,Crew resource management competency is not yet an effective safety measure for helicopters operating under CAR Part 135. On 22 February 2023 ,"You have asked if the Authority can advise its position in relation to the implementation of the above recommendations, including the actions taken (or to be taken) and the estimated timeframe._x000D_
Existing work_x000D_
The Authority has two existing programmes of work that relate to the recommendations._x000D_
The first is that as part the Authorityâ€™s rule development work, (the Transport Rules Programme) AC91-13 (Night Vision Imaging Systems - Helicopter) is being redrafted to align the AC with new technology and ICAO Standards.1_x000D_
When the redraft is complete, it will be released for consultation. However, the timing of that release is yet to be determined and so I cannot give you a specific timeframe, but will update you further, as below._x000D_
The second is that the Authority will, through its monitoring and inspection function, continue to both promote international best practice and assess operatorsâ€™ ability to identify and appropriately manage the risk of using NVIS against best practice._x000D_
The above are clear steps that will address the issues identified, and form part of our response to the Commissionâ€™s inquiry._x000D_
New work_x000D_
In addition, to ensure that any other gaps that the Authority should resolve in this area are identified and responded to, the Authority will commence a gap analysis to identify if any further work is appropriate in the areas of crew competency and performance/standards in the helicopter air ambulance space to support giving effect to recommendations 021/22 and 022/22._x000D_
You have asked that we respond to you further on our response to your recommendations and we are happy to do so._x000D_
Timeframes_x000D_
For an update on the gap analysis, and the AC9-31 consultation timeframe, we expect to give you an update in early September.",Under consideration
2021_204,002/23,MoT,2023-01-25,The Commission recommended that the Ministry of Transport revisit its decision with respect to recommendation 004/11 and take steps to mitigate the increase in the risk of competence-based accidents in the recreational maritime transport sector.,The Commission recommended that the Ministry of Transport revisit its decision with respect to recommendation 004/11 and take steps to mitigate the increase in the risk of competence-based accidents in the recreational maritime transport sector.,,"As reiterated in our response on the draft report of 23 November, the Ministry of Transport (the Ministry) remains of the view that safety education campaigns are the most appropriate way to share maritime knowledge with recreational boat users. The Ministry considers that the introduction of skipper licensing would be a blunt instrument for dealing with a basic safety issue._x000D_
This notwithstanding, the Ministry has consulted afresh with Maritime New Zealand on this recommendation and, as time and resources permit, Maritime New Zealand will explore the merits of initiatives such as skipper education and a licensing regime as potential mechanisms for achieving public safety objectives._x000D_
If new evidence suggests that introducing skipper licensing, in addition to educational campaigns, would make a material difference to recreational boating safety, the Ministry will reconsider its position.",Rejected
2021_204,003/23,MoT,2023-01-25,"The Commission recommended that the Ministry of Transport undertake research to determine the merits of a regulatory system for the recreational maritime sector, in line with overseas best practice, and how such a system may incorporate licensing, registration and boat design standards to improve the safety of New Zealandâ€™s recreational maritime sector.","The Commission recommended that the Ministry of Transport undertake research to determine the merits of a regulatory system for the recreational maritime sector, in line with overseas best practice, and how such a system may incorporate licensing, registration and boat design standards to improve the safety of New Zealandâ€™s recreational maritime sector.",,The Ministry accepts this recommendation. The Ministry routinely reviews regulatory systems overseas and will continue to do this for the recreational maritime sector.,Accepted
2021_102,018/22,KiwiRail,2022-12-07,"On 7 December 2022 the Commission recommended that KiwiRail review its permit-to-enter process by working with road-controlling authorities, and those requiring permits to enter, to ensure that provision is made for the practicable requirements of non-static or short-term work at multiple locations within the rail corridor.","the Commission recommended that KiwiRail review its permit-to-enter process by working with road-controlling authorities, and those requiring permits to enter, to ensure that provision is made for the practicable requirements of non-static or short-term work at multiple locations within the rail corridor.",On 7 December 2022 ,"On 29 September 2022 KiwiRail replied to the draft recommendation in part:_x000D_
KiwiRail is working with the industry to get the message out. With regard to provisions being made for the practicable requirements of non-static or short term work locations, the annual permit for road markings could cover this. It is worth noting that this is not something new. The annual/global permits have been available for several years. The applying company would need to satisfy KiwiRailâ€™s safety requirements and have a safety guide which documents the process when working under the annual permit regarding the activity agreed upon._x000D_
We can place more information on our webpage around annual permits for repetitive low risk type works such as pothole repairs, line marking, etc. We are also working with Road Controlling Authorities to change the standard. WorkSafe have just published guidance on their website, Civil Contractors NZ have published the KiwiRail safety alert on their website and we are finalising the KiwiRail practice note for the New Zealand Guide to Temporary Traffic Management. We are raising awareness and will continue to do so until the standards have changed.",Accepted and Implemented
2021_102,019/22,KiwiRail,2022-12-07,"On 7 December 2022 the Commission recommended that KiwiRail review its permit-to-enter process to ensure that any associated costs and requirements are not prohibitive to the completion of safety-critical work, and that the charging of fees for permits to enter is in accordance with the Railways Act 2005.","the Commission recommended that KiwiRail review its permit-to-enter process to ensure that any associated costs and requirements are not prohibitive to the completion of safety-critical work, and that the charging of fees for permits to enter is in accordance with the Railways Act 2005.",On 7 December 2022 ,"On 29 September 2022 KiwiRail replied to the draft recommendation in part that it did not believe the cost of the permit and protection was a factor, and that it had had no negative feedback on PTE fees. KiwiRail further stated that it did not charge for a consideration of permission sought, only actual services provided.",Under consideration
2021_103,020/22,KiwiRail,2022-11-16,"On 16 November 2022 the Commission recommended that KiwiRail provide guidance to staff responding to the severance of inter-carriage jumper cables during the parting of passenger trains, to ensure any damage to safety-critical trainline circuits is considered, and any necessary safety action is taken before moving the train.","the Commission recommended that KiwiRail provide guidance to staff responding to the severance of inter-carriage jumper cables during the parting of passenger trains, to ensure any damage to safety-critical trainline circuits is considered, and any necessary safety action is taken before moving the train.",On 16 November 2022 ,"On 1 December 2022, KiwiRail replied in part:_x000D_
_x000D_
KiwiRail agrees with the intent of this recommendation and will take the following actions to address this:_x000D_
_x000D_
â€¢ Introduce a procedure for testing of all trainlined systems after re-coupling vehicles that have parted in service and before the vehicles are moved. Systems include Public Address, Train Management System, Park Brake, Door Circuit._x000D_
â€¢ Update manuals and procedures with this requirement and to make staff aware of the potential for damage to jumper cables to cause faults in trainlined systems. Documents include TARPS and Rail Operating Code Supplements for the affected vehicle classes._x000D_
â€¢ Include the above in operational and maintenance staff training for existing and new vehicle classes._x000D_
_x000D_
The indicative timeframe for implementation of the above is end of 2023.",Accepted
