Investigation title,Investigation number,Investigation webpage,Occurrence date,Report status,Report release
"Stall warning activation involving Saab 340, VH-TRX, 5 km north of Merimbula Airport, New South Wales, on 8 June 2023",AO-2023-030,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-030,08/06/2023,Final,14/08/2024
"Flight crew incapacitation involving Boeing 717-200, VH-NXM, on approach to Hobart Airport, Tasmania, on 6 June 2023",AO-2023-026,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-026,06/06/2023,Final,16/04/2024
"Partial engine power loss and collision with terrain involving Cessna 210L, VH-FTM, Groote Eylandt Airport, Northern Territory, on 16 June 2023",AO-2023-028,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-028,16/06/2023,Final,13/08/2024
"Near collision involving Piper PA-28-161, VH-ENL, and Bombardier DHC-8-315, VH-TQH, at Mildura Airport, Victoria, on 6 June 2023",AO-2023-025,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-025,06/06/2023,Final,14/05/2024
"Collision with terrain involving Magni M16C Tandem Trainer gyroplane, G1850, while avoiding Extra EA 300L, VH-IOG, at Lake Macquarie Airport, New South Wales, on 12 May 2023",AO-2023-024,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-024,12/05/2023,Final,13/02/2024
"Runway incursion involving Diamond Aircraft DA40, VH-ERE, at Sunshine Coast Airport, Queensland, on 7 May 2023",AO-2023-023,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-023,09/05/2023,Final,27/10/2023
"Separation occurrence involving Boeing 737, VH-VZM, and Boeing 737, VH-VZW, near Sydney Airport, New South Wales, on 29 April 2023",AO-2023-022,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-022,29/04/2023,Final,31/01/2024
"Fuel starvation and ditching involving Piper PA-28, VH-FEY, 15 km north-west of Jandakot Airport, Western Australia, on 20 April 2023",AO-2023-021,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-021,20/04/2023,Final,28/11/2023
"Fuel starvation and forced landing involving Piper PA-31-350, VH-HJE, 11 km south of Archerfield Airport, Queensland, on 7 April 2023",AO-2023-017,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-017,07/04/2023,Final,19/07/2024
"Runway excursion involving Gippsland Aeronautics GA-8, VH-TBU, at Rat Island, Western Australia, on 6 April 2023",AO-2023-016,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-016,06/04/2023,Final,25/10/2023
"Collision with terrain involving Robinson R44 II, VH-WLH, Bingegang, Queensland, on 4 April 2023",AO-2023-014,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-014,04/04/2023,Final,10/11/2023
"Cabin pressurisation fault involving Saab 340B, VH-VEZ, 20 km south-west of Goulburn, New South Wales, on 25 March 2023",AO-2023-012,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-012,25/03/2023,Final,10/08/2023
"Loss of control and collision with terrain involving Cirrus SR22, VH-XGR, at Bankstown Airport, New South Wales, on 17 March 2023",AO-2023-011,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-011,17/03/2023,Final,20/03/2024
"Hard landing involving Boeing 737-8FE, VH-YQR, Sydney Airport, New South Wales, on 10 March 2023",AO-2023-010,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-010,10/03/2023,Final,08/12/2023
"Collision with terrain involving Textron Aviation Cessna 340A, RP-C2080, Mount Mayon, Albay Province, Philippines, on 18 February 2023",AA-2023-002,https://www.atsb.gov.au/publications/investigation_reports/2024/report/aa-2023-002,18/02/2023,Final,14/02/2024
"Mid-air collision between hot air balloons, VH-FSR and VH-OOP, 6 km south-east of Alice Springs Airport, Northern Territory, on 18 July 2022",AO-2022-037,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-037,18/07/2022,Final,01/02/2023
"Engine failure involving a Boeing Company 737-838, VH-XZB, en route from Auckland, New Zealand to Sydney, New South Wales, on 18 January 2023",AO-2023-007,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-007,18/01/2023,Final,03/08/2023
"Drive belt tensioning motor failure involving Robinson R44 helicopter, VH-ZUJ, at Hamilton Island Airport, Queensland, on 8 January 2023",AO-2023-005,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-005,08/01/2023,Final,31/05/2023
"Descent below minimum altitude involving British Aerospace BAE 146, VH-SFV, 15 km south of Rockhampton Airport, Queensland, on 5 January 2023",AO-2023-004,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-004,05/01/2023,Final,13/12/2023
"Pylon support link assembly fracture involving Bell 206L-3, VH-JSU, 60 km south-west of Deniliquin Aerodrome, New South Wales, on 9 December 2022",AO-2023-002,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2023-002,09/12/2022,Final,02/11/2023
"Collision with terrain involving Stoddard Hamilton Aircraft Glasair Super II FT, N600, near Wedderburn Airport, New South Wales, on 26 December 2022",AO-2022-068,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-068,26/12/2022,Final,12/12/2023
"Engine failure involving Saab 340B, VH-RXE, 141 km south of Perth, Western Australia, on 21 December 2022",AO-2022-066,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-066,21/12/2022,Final,12/09/2024
"Mid-air collision involving Grob-Burkhaart Astir CS glider, registration VH-WVI, and Kappa KP-2U Sova ultralight, registration 24-4311, 2.3 km south of Gympie, Queensland, on 09 November 2022",AE-2022-005,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ae-2022-005,09/11/2022,Final,21/02/2023
"Air traffic controller incapacitation, Brisbane, Queensland, on 9 December 2022",AO-2022-065,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-065,09/12/2022,Final,03/09/2024
"Propeller strike due to foreign object debris involving Beech 1900D, VH-NYA, at Fortnum Aerodrome, Western Australia, on 17 November 2022",AO-2022-059,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-059,17/11/2022,Final,30/05/2023
"Collision with terrain involving Hughes Helicopters 269C, VH-OBK, near Moorabbin Airport, Victoria, on 30 November 2022",AO-2022-063,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-063,30/11/2022,Final,30/03/2023
"Technical Assistance to Recreational Aviation Australia - Collision with terrain involving Jabiru J230-C, registration 24-5067, near Lucyvale, Victoria, on 18 September 2022",AE-2022-003,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ae-2022-003,18/09/2022,Final,22/12/2022
"Flight below minimum altitude involving Cessna Citation 510, VH-IEQ, 13 km west of Bankstown Airport, New South Wales, 16 November 2022",AO-2022-061,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-061,16/11/2022,Final,05/06/2024
"Collision with terrain involving Robinson R44, VH-TKI, at Forresters Beach, New South Wales, on 19 November 2022",AO-2022-060,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-060,19/11/2022,Final,09/06/2023
"Aircraft preparation event involving Saab 340B, VH-ZLJ, at Cairns Airport, Queensland, on 16 November 2022",AO-2022-058,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-058,16/11/2022,Final,26/10/2023
"Collision with terrain involving Robinson R22, VH-LOS, 36 km south of Ramingining, Northern Territory, on 14 November 2022",AO-2022-057,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-057,14/11/2022,Final,28/07/2023
"Brake failure and fire involving DHC-8-202, VH-TQS, Sydney Airport, New South Wales, on 8 November 2022",AO-2022-056,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-056,08/11/2022,Final,20/02/2024
"Aircraft preparation and foreign object damage event involving Saab 340B, VH-VEQ, at Canberra Airport, Australian Capital Territory, on 10 November 2022",AO-2022-055,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-055,10/11/2022,Final,09/05/2024
"Air traffic control error involving Boeing 737, VH-YFT, near Armidale, New South Wales, on 19 October 2022",AO-2022-052,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-052,19/10/2022,Final,06/06/2023
"Rejected take-off involving SAAB 340, VH-ZRC, Flinders Island Airport, Tasmania, 4 November 2022",AO-2022-054,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-054,04/11/2022,Final,17/05/2023
"Flight below minimum altitude occurrences, 40 km south of Cairns Airport, Queensland, on 24 and 26 October 2022",AO-2022-051,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-051,24/10/2022,Final,08/08/2023
"Collision with terrain involving Robinson R44, VH-OCL, 8.1 km north-north-west of Kumarina Roadhouse Airport, Western Australia, on 3 November 2022",AO-2022-053,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-053,03/11/2022,Final,21/08/2024
"Technical assistance to the Ministry of Transport, Thailand – Aircraft Accident and Incident Investigation Commission investigation of a runway excursion involving a Hawker 850XP aircraft, registered HS-WTH, Pattani Airport, Thailand, on 5 October 2020",AE-2022-004,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ae-2022-004,05/10/2020,Final,24/04/2023
"Flight instrumentation failure and descent below glideslope involving Saab 340, VH-VEQ, 9 km south of Sydney Airport, New South Wales, on 24 October 2022",AO-2022-050,https://www.atsb.gov.au/publications/investigation_reports/2024/report/ao-2022-050,24/10/2022,Final,23/04/2024
"Collision with terrain involving Bell Helicopter 206B, VH-PHP, 6.5 km east-north-east of Maitland Airport, New South Wales, on 6 October 2022",AO-2022-048,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-048,06/10/2022,Final,25/06/2024
"In-flight break-up involving Robinson R22 Beta II, VH-RAS, 13 km south-west of Koorda, Western Australia, on 2 October 2022",AO-2022-045,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-045,02/10/2022,Final,21/05/2024
"In-flight fire and collision with terrain involving Mooney Aircraft Corporation M20J, VH-UDQ, near Luskintyre Airfield, New South Wales, on 17 October 2022",AO-2022-049,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-049,17/10/2022,Final,07/05/2024
"Fuel starvation and forced landing involving Pilatus Britten-Norman Islander BN2A, VH-WQA, Moa Island, Queensland, on 3 October 2022",AO-2022-046,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-046,03/10/2022,Final,05/10/2023
"Loss of separation involving Airbus A330, VH-EBK and Boeing 787, G-ZBKF, near Sydney Airport, New South Wales, on 28 September 2022",AO-2022-047,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-047,28/09/2022,Final,03/03/2023
"Birdstrike and collision with terrain involving Air Tractor AT-502B, VH-KDR, 32 km east-north-east of Chinchilla Airport, Queensland, on 19 September 2022",AO-2022-043,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-043,19/09/2022,Final,28/06/2023
"Ground strike involving Ayres Corporation S2R-T15, VH-IWI, Trangie, New South Wales, on 31 August 2022",AO-2022-042,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-042,31/08/2022,Final,06/04/2023
"Flight below minimum altitude involving Beech Aircraft Corp 95-B55, VH-ALR, 20km north-north-east of Parafield Airport, South Australia, on 12 August 2022",AO-2022-039,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-039,12/08/2022,Final,15/05/2024
"VFR into IMC and controlled flight into terrain involving Cessna R182, VH-EHM, 36 km north-west of Archerfield Airport, Queensland, on 29 August 2022",AO-2022-041,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-041,29/08/2022,Final,21/12/2023
"Fuel starvation event involving Cessna 310, VH-JQK, near Sunshine Coast Airport, Queensland, on 18 August 2022",AO-2022-040,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-040,18/08/2022,Final,05/05/2023
Assistance to the Sports Aviation Federation of Australia in the examination of components from a fatal accident involving a weightshift microlight on 3 March 2021,AE-2021-012,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ae-2021-012,03/03/2021,Final,22/07/2022
"Engine malfunction and forced landing involving Robinson R22 Beta II, VH-NKV, 85 NM north-east of Karumba Airport, Queensland, on 6 August 2022",AO-2022-038,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-038,06/08/2022,Final,23/02/2024
"Tail rotor driveshaft failure involving Bell Textron 505, VH-VTB, Cairns Airport, Queensland, on 15 July 2022",AO-2022-036,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-036,15/07/2022,Final,19/05/2023
"Fuel Mayday declaration involving Boeing 737-838, VH-VZO, abeam Wave Rock, Western Australia, on 18 July 2022",AO-2022-035,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-035,18/07/2022,Final,08/06/2023
"Birdstrike and in-flight break-up involving a Bell 206L-1, VH-ZMF, near Maroota, New South Wales, on 9 July 2022",AO-2022-034,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-034,09/07/2022,Final,12/05/2023
"Flight preparation event involving Airbus A350-941, 9V-SHH, Brisbane Airport, Queensland, on 27 May 2022",AO-2022-032,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-032,27/05/2022,Final,15/03/2024
"Runway excursion involving De Havilland Canada DHC-8, VH-QQB, at Chinchilla Airport, Queensland, on 23 May 2022",AO-2022-031,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-031,23/05/2022,Final,11/10/2023
"Unreliable altitude indications, Boeing 737-476SF, ZK-TLJ, 167 km west of Meekatharra Airport, Western Australia, on 10 June 2022",AO-2022-033,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-033,10/06/2022,Final,13/04/2023
"Clutch actuator lower bearing seizure and collision with terrain involving Robinson Helicopter Company R44, VH-KOV, near Nathan River Station, Northern Territory, on 16 May 2022",AO-2022-030,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-030,16/05/2022,Final,01/08/2023
"Collision with terrain involving Kubicek Balloons BB78Z, VH-RJR, Elwood, Victoria, on 20 April 2022",AO-2022-028,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-028,20/04/2022,Final,04/08/2023
"Accredited Representative to the NTSB - Engine power loss and collision with terrain involving a Arion Lightning LS-1, registered N6688S, at Johnson County Airport, Tennessee, United States, on 7 April 2022",AA-2022-001,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/aa-2022-001,07/04/2022,Final,03/05/2023
"In-flight propeller loss involving Jabiru J120, 23-1531, Devonport Airport, Tasmania, on 16 January 2022",AO-2022-013,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-013,16/01/2022,Final,21/02/2023
"Flight control systems occurrence involving Boeing 737-800, VH-YFZ, Gold Coast Airport, Queensland, on 27 April 2022",AO-2022-029,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-029,27/04/2022,Final,19/12/2022
"Engine failure involving de Havilland Canada DHC-2 Beaver, VH-AAX, overhead Moruya Airport, New South Wales, on 4 April 2022",AO-2022-025,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-025,04/04/2022,Final,13/10/2023
"In-flight fire and collision with terrain involving Beechcraft B58 Baron, VH-NPT, near East Kimberley Regional Airport, Kununurra, Western Australia, on 16 April 2022",AO-2022-026,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-026,16/04/2022,Final,23/05/2023
"Wirestrike and collision with terrain, involving Cessna 172, VH-REU, Coonabarabran Aerodrome, New South Wales, on 18 April 2022",AO-2022-027,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-027,18/04/2022,Final,23/02/2023
"Technical Assistance to Recreational Aviation Australia – Collision with terrain, Pipistrel, Virus SW 100, 24-8190, near Heck Field Aerodrome, Queensland, on 5 April 2020",AE-2022-002,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ae-2022-002,05/04/2020,Final,28/11/2022
"VFR into IMC, loss of control and collision with terrain involving Airbus Helicopters EC130 T2, VH-XWD, near Mount Disappointment, Victoria, on 31 March 2022",AO-2022-016,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-016,31/03/2022,Final,11/01/2024
"VFR into IMC and collision with terrain involving Bell Helicopter 206L-4, VH-PRW, 33 km north-west of Adaminaby, New South Wales, on 3 April 2022",AO-2022-017,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-017,03/04/2022,Final,23/11/2022
"Hard landing involving Kavanagh Balloons E-240 VH-ZON at Moorabbin Airport, Victoria on 27 March 2022",AO-2022-015,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-015,27/03/2022,Final,15/11/2022
Technical assistance to CASA in the examination of a wing spoiler cable from a Boeing 737-300 aircraft,AE-2022-001,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ae-2022-001,27/10/2022,Final,06/05/2022
"In-flight tail rotor blade failure and tail assembly separation involving Robinson Helicopter R22, VH-THM, Gold Coast Airport, Queensland, on 26 February 2022",AO-2022-010,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-010,26/02/2022,Final,09/08/2024
"Engine power loss and forced landing involving Robinson R22 Beta, VH-VHE, 130 km south-west of Mitchell, Queensland, on 11 January 2022",AO-2022-005,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-005,11/01/2022,Final,12/10/2022
"Fuel exhaustion and collision with terrain involving Robinson R44 II, VH-IDW, King River, Northern Territory, on 28 February 2022",AO-2022-009,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-009,28/02/2022,Final,22/11/2023
"Touchdown off the runway surface involving Raytheon B200, VH-MVP, at Lord Howe Island Airport, New South Wales, on 18 February 2022",AO-2022-007,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-007,18/02/2022,Final,24/05/2023
"Drive shaft failure and loss of control involving Garlick Helicopters UH-1H, VH-UHX, 36 km north of Launceston, Tasmania, on 14 February 2022",AO-2022-006,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-006,14/02/2022,Final,12/03/2024
"Collision with terrain involving Piper PA-25, VH-SEH, Seaview, Victoria, on 23 February 2022",AO-2022-008,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-008,23/02/2022,Final,19/01/2023
"Aircraft performance and cockpit visibility study supporting investigation into the mid-air collision involving VH-AEM and VH-JQF near Mangalore Airport, Victoria on 19 February 2020",AS-2022-001,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/as-2022-001,27/10/2022,Final,22/06/2022
"In-flight propeller loss involving Jabiru J170, 24-7496, near Muchea/Greenside ALA, Western Australia, on 22 December 2021",AO-2022-004,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-004,22/12/2021,Final,14/11/2022
"Hard landing involving Kavanagh Balloons B-350, VH-BSW, 2 km south of Lilydale Airport, Victoria, on 31 December 2021",AO-2022-003,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-003,31/12/2021,Final,18/08/2022
"Runway overrun involving Gippsland Aeronautics GA-8, VH-WSB, East Wallabi Island, Western Australia, on 26 December 2021",AO-2022-001,https://www.atsb.gov.au/publications/investigation_reports/2022/aair/ao-2022-001,26/12/2021,Final,06/05/2022
"Fuel starvation and collision with water involving Rockwell International 114, VH-WMM, 1km north of Redcliffe aircraft landing area, Queensland, on 19 December 2021",AO-2021-053,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-053,19/12/2021,Final,14/03/2024
"Collision with terrain involving Air Tractor AT-400, VH-ACQ, 75 km west-south-west of Moree, New South Wales, on 4 December 2021",AO-2021-052,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-052,04/12/2021,Final,10/03/2023
"Cabin pressurisation issue involving Boeing B737-36E SF, ZK-FXK, near Darwin Airport, Northern Territory, on 4 November 2021",AO-2021-047,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-047,04/11/2021,Final,16/05/2023
"Unforecast weather and flight below minimum altitude involving Fokker Aircraft F100, VH-NHV, Paraburdoo Airport, Western Australia, on 22 November 2021",AO-2021-048,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-048,22/11/2021,Final,24/03/2023
"Cabin pressurisation issue involving a De Havilland Canada DHC-8, VH-QQD, 30 km north of Perth Airport, Western Australia, on 20 November 2021",AO-2021-050,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-050,20/10/2021,Final,20/01/2023
"Collision with terrain involving Kavanagh E-240 Balloon, VH-LUD, near Yamanto, Queensland, on 8 October 2021",AO-2021-042,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-042,08/10/2021,Final,01/11/2022
"Landing on closed runway involving Cessna 510, VH-MSU, Temora Aerodrome, New South Wales, on 21 October 2021",AO-2021-045,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-045,21/10/2021,Final,18/05/2022
"Runway incursion involving Beech Aircraft Corp. 58, VH-NSK, Bankstown Airport, New South Wales, on 26 October 2021",AO-2021-046,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-046,26/10/2021,Final,16/02/2022
"Fuel imbalance and engine shutdown involving Boeing 737, VH-VZT, 135 NM south of Kalgoorlie-Boulder Airport, Western Australia, on 25 October 2021",AO-2021-043,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-043,25/10/2021,Final,28/02/2024
"Separation issue involving Saab 340B, VH-ZLV, and Beech Aircraft B200, VH-WXB, near Brisbane West Wellcamp Airport, Queensland, on 21 October 2021",AO-2021-044,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-044,21/10/2021,Final,29/09/2023
"Engine malfunction involving Cessna 441, VH-JFU, 100 km north-east of Tindal Airport, Northern Territory, on 7 September 2021",AO-2021-039,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-039,07/09/2021,Final,10/02/2023
"Reduced landing distance available involving Boeing 737 aircraft VH-YIS and VH-YFC, Darwin Airport, Northern Territory, on 3 and 19 September 2021",AO-2021-037,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-037,03/09/2021,Final,14/02/2023
"Separation occurrence involving Boeing 737-8FE, VH-YIO and Cessna Caravan 208, VH-YMV, Ballina Byron Gateway Airport, New South Wales, on 16 September 2021",AO-2021-038,https://www.atsb.gov.au/publications/investigation_reports/2021/aair/ao-2021-038,16/09/2021,Final,07/02/2023
